member_number,order_id,date,product_id,product_name,category,items,price,gross_sales
1000,1000_2,15-03-2015,2,whole milk,Dairy,3,1.8,5.4
1000,1000_2,15-03-2015,18,yogurt,Dairy,1,2.2,2.2
1000,1000_2,15-03-2015,19,sausage,Fresh Food,2,3.1,6.2
1000,1000_2,15-03-2015,103,semi-finished bread,Frozen & Processed Food,2,1.1,2.2
1000,1000_1,24-06-2014,2,whole milk,Dairy,2,1.8,3.6
1000,1000_1,24-06-2014,24,pastry,Bakery & Sweets,3,3.1,9.3
1000,1000_1,24-06-2014,80,salty snack,Snacks,1,0.5,0.5
1000,1000_4,24-07-2015,25,canned beer,Beverages,3,1.1,3.3000000000000003
1000,1000_4,24-07-2015,28,misc. beverages,Beverages,1,1.2,1.2
1000,1000_5,25-11-2015,19,sausage,Fresh Food,2,3.1,6.2
1000,1000_5,25-11-2015,96,hygiene articles,Household & Hygiene,1,7.5,7.5
1000,1000_3,27-05-2015,38,soda,Beverages,1,0.8,0.8
1000,1000_3,27-05-2015,62,pickled vegetables,Fresh Food,2,2.7,5.4
1001,1001_5,02-05-2015,9,frankfurter,Fresh Food,3,5.5,16.5
1001,1001_5,02-05-2015,45,curd,Dairy,3,9.8,29.400000000000002
1001,1001_1,07-02-2014,2,whole milk,Dairy,1,1.8,1.8
1001,1001_1,07-02-2014,5,rolls/buns,Bakery & Sweets,2,1.2,2.4
1001,1001_1,07-02-2014,19,sausage,Fresh Food,1,3.1,3.1
1001,1001_2,12-12-2014,2,whole milk,Dairy,1,1.8,1.8
1001,1001_2,12-12-2014,38,soda,Beverages,3,0.8,2.4000000000000004
1001,1001_4,14-04-2015,8,beef,Fresh Food,1,19.5,19.5
1001,1001_4,14-04-2015,83,white bread,Bakery & Sweets,1,0.3,0.3
1001,1001_3,20-01-2015,9,frankfurter,Fresh Food,3,5.5,16.5
1001,1001_3,20-01-2015,38,soda,Beverages,1,0.8,0.8
1001,1001_3,20-01-2015,74,whipped/sour cream,Dairy,1,5.5,5.5
1002,1002_1,09-02-2014,4,other vegetables,Fresh Food,1,0.8,0.8
1002,1002_1,09-02-2014,75,frozen vegetables,Frozen & Processed Food,3,2.5,7.5
1002,1002_2,26-04-2014,2,whole milk,Dairy,3,1.8,5.4
1002,1002_2,26-04-2014,11,butter,Dairy,2,3.2,6.4
1002,1002_3,26-04-2015,1,tropical fruit,Fresh Food,2,7.8,15.6
1002,1002_3,26-04-2015,35,sugar,Bakery & Sweets,3,1.2,3.5999999999999996
1002,1002_4,30-08-2015,16,butter milk,Dairy,2,6.1,12.2
1002,1002_4,30-08-2015,53,specialty chocolate,Bakery & Sweets,1,18.8,18.8
1003,1003_4,10-02-2015,5,rolls/buns,Bakery & Sweets,3,1.2,3.5999999999999996
1003,1003_4,10-02-2015,19,sausage,Fresh Food,2,3.1,6.2
1003,1003_3,15-10-2014,22,root vegetables,Fresh Food,3,1.8,5.4
1003,1003_3,15-10-2014,39,detergent,Household & Hygiene,2,5.5,11.0
1003,1003_1,19-01-2014,36,frozen meals,Frozen & Processed Food,2,9.7,19.4
1003,1003_1,19-01-2014,130,dental care,Personal Care,1,11.45,11.45
1003,1003_2,27-02-2014,5,rolls/buns,Bakery & Sweets,3,1.2,3.5999999999999996
1004,1004_2,01-05-2014,77,dish cleaner,Household & Hygiene,3,2.5,7.5
1004,1004_2,01-05-2014,85,cling film/bags,Household & Hygiene,3,2.2,6.6000000000000005
1004,1004_4,01-07-2014,25,canned beer,Beverages,3,1.1,3.3000000000000003
1004,1004_4,01-07-2014,95,frozen fish,Frozen & Processed Food,3,5.8,17.4
1004,1004_8,02-12-2015,4,other vegetables,Fresh Food,1,0.8,0.8
1004,1004_8,02-12-2015,96,hygiene articles,Household & Hygiene,2,7.5,15.0
1004,1004_1,04-02-2014,1,tropical fruit,Fresh Food,2,7.8,15.6
1004,1004_1,04-02-2014,2,whole milk,Dairy,1,1.8,1.8
1004,1004_1,04-02-2014,3,pip fruit,Fresh Food,3,3.0,9.0
1004,1004_3,10-06-2014,5,rolls/buns,Bakery & Sweets,2,1.2,2.4
1004,1004_3,10-06-2014,14,chocolate,Bakery & Sweets,3,11.5,34.5
1004,1004_3,10-06-2014,32,red/blush wine,Beverages,3,12.2,36.599999999999994
1004,1004_5,10-07-2014,4,other vegetables,Fresh Food,2,0.8,1.6
1004,1004_5,10-07-2014,71,shopping bags,Household & Hygiene,3,5.12,15.36
1004,1004_7,13-10-2014,2,whole milk,Dairy,1,1.8,1.8
1004,1004_7,13-10-2014,5,rolls/buns,Bakery & Sweets,2,1.2,2.4
1004,1004_7,13-10-2014,13,packaged fruit/vegetables,Fresh Food,1,3.5,3.5
1004,1004_7,13-10-2014,14,chocolate,Bakery & Sweets,1,11.5,11.5
1004,1004_6,19-08-2014,2,whole milk,Dairy,2,1.8,3.6
1004,1004_6,19-08-2014,22,root vegetables,Fresh Food,3,1.8,5.4
1004,1004_6,19-08-2014,24,pastry,Bakery & Sweets,3,3.1,9.3
1005,1005_1,09-01-2014,5,rolls/buns,Bakery & Sweets,5,1.2,6.0
1005,1005_2,23-01-2014,70,margarine,Pantry Staples,2,3.5,7.0
1005,1005_2,23-01-2014,74,whipped/sour cream,Dairy,2,5.5,11.0
1006,1006_2,05-07-2014,5,rolls/buns,Bakery & Sweets,2,1.2,2.4
1006,1006_2,05-07-2014,17,bottled water,Beverages,1,0.5,0.5
1006,1006_2,05-07-2014,152,softener,Household & Hygiene,3,11.8,35.400000000000006
1006,1006_1,09-04-2014,2,whole milk,Dairy,2,1.8,3.6
1006,1006_1,09-04-2014,159,rice,Pantry Staples,2,11.1,22.2
1006,1006_3,11-07-2014,71,shopping bags,Household & Hygiene,2,5.12,10.24
1006,1006_3,11-07-2014,148,skin care,Personal Care,3,10.3,30.900000000000002
1006,1006_4,14-06-2015,2,whole milk,Dairy,1,1.8,1.8
1006,1006_4,14-06-2015,5,rolls/buns,Bakery & Sweets,3,1.2,3.5999999999999996
1006,1006_4,14-06-2015,9,frankfurter,Fresh Food,4,5.5,22.0
1006,1006_4,14-06-2015,10,chicken,Fresh Food,3,7.2,21.6
1006,1006_4,14-06-2015,14,chocolate,Bakery & Sweets,2,11.5,23.0
1006,1006_4,14-06-2015,34,flour,Pantry Staples,1,2.1,2.1
1006,1006_4,14-06-2015,50,bottled beer,Beverages,2,1.8,3.6
1008,1008_2,03-10-2015,21,hamburger meat,Fresh Food,2,12.3,24.6
1008,1008_2,03-10-2015,51,dessert,Bakery & Sweets,1,1.15,1.15
1008,1008_2,03-10-2015,63,liquor (appetizer),Beverages,2,11.2,22.4
1008,1008_2,03-10-2015,107,liver loaf,Fresh Food,1,8.5,8.5
1008,1008_1,21-07-2015,1,tropical fruit,Fresh Food,2,7.8,15.6
1008,1008_1,21-07-2015,18,yogurt,Dairy,4,2.2,8.8
1008,1008_1,21-07-2015,22,root vegetables,Fresh Food,3,1.8,5.4
1008,1008_1,21-07-2015,38,soda,Beverages,2,0.8,1.6
1008,1008_1,21-07-2015,56,white wine,Beverages,2,14.2,28.4
1008,1008_1,21-07-2015,68,photo/film,Household & Hygiene,3,11.9,35.7
1008,1008_1,21-07-2015,69,domestic eggs,Fresh Food,3,1.25,3.75
1009,1009_4,05-10-2015,18,yogurt,Dairy,2,2.2,4.4
1009,1009_4,05-10-2015,37,herbs,Fresh Food,1,6.5,6.5
1009,1009_4,05-10-2015,44,newspapers,Specialty & Seasonal,1,3.2,3.2
1009,1009_2,14-05-2015,1,tropical fruit,Fresh Food,2,7.8,15.6
1009,1009_2,14-05-2015,18,yogurt,Dairy,1,2.2,2.2
1009,1009_3,23-09-2015,24,pastry,Bakery & Sweets,3,3.1,9.3
1009,1009_3,23-09-2015,146,ketchup,Pantry Staples,1,1.25,1.25
1009,1009_1,24-01-2014,101,canned fish,Frozen & Processed Food,1,2.1,2.1
1009,1009_1,24-01-2014,151,cocoa drinks,Beverages,2,2.1,4.2
1010,1010_1,05-03-2014,3,pip fruit,Fresh Food,3,3.0,9.0
1010,1010_1,05-03-2014,27,coffee,Beverages,2,8.5,17.0
1010,1010_1,05-03-2014,64,UHT-milk,Dairy,1,2.1,2.1
1010,1010_2,10-04-2014,76,sliced cheese,Dairy,2,4.2,8.4
1010,1010_2,10-04-2014,132,kitchen towels,Household & Hygiene,2,4.83,9.66
1010,1010_3,23-08-2014,15,specialty bar,Bakery & Sweets,3,5.2,15.600000000000001
1010,1010_3,23-08-2014,17,bottled water,Beverages,1,0.5,0.5
1010,1010_4,27-08-2014,9,frankfurter,Fresh Food,3,5.5,16.5
