member_number,last_purchase,first_purchase,frequency,monetary,total_items,recency,tenure_days,AOV,avg_items_per_order,R_score,F_score,M_score,RFM_code,Segment
1000,2015-11-25,2014-06-24,5,53.8,24,36,519,10.76,4.8,5,4,2,542,Trung thành
1001,2015-05-02,2014-02-07,5,100.0,21,243,449,20.0,4.2,2,4,4,244,Nguy cơ
1002,2015-08-30,2014-02-09,4,70.3,17,123,567,17.575,4.25,3,3,3,333,Trung thành
1003,2015-02-10,2014-01-19,4,60.65,16,324,387,15.1625,4.0,2,3,2,232,Nguy cơ
1004,2015-12-02,2014-02-04,8,204.96,47,29,666,25.62,5.875,5,5,5,555,VIP
1005,2014-01-23,2014-01-09,2,24.0,9,707,14,12.0,4.5,1,1,1,111,Vãng lai
1006,2015-06-14,2014-04-09,4,182.94,31,200,431,45.735,7.75,2,3,5,235,Nguy cơ
1008,2015-10-03,2015-07-21,2,155.9,25,89,74,77.95,12.5,4,1,5,415,Khác
1009,2015-10-05,2014-01-24,4,48.75,14,87,619,12.1875,3.5,4,3,2,432,Trung thành
1010,2015-07-31,2014-03-05,5,89.36000000000001,23,153,513,17.872000000000003,4.6,3,4,4,344,Trung thành
1011,2015-12-09,2014-02-15,3,89.80000000000001,25,22,662,29.933333333333337,8.333333333333334,5,2,4,524,Mới
1012,2015-11-19,2014-06-22,4,75.86,20,42,515,18.965,5.0,5,3,3,533,Trung thành
1013,2015-10-02,2014-01-17,8,186.75,40,90,623,23.34375,5.0,4,5,5,455,VIP
1014,2015-10-03,2014-09-04,4,75.1,21,89,394,18.775,5.25,4,3,3,433,Trung thành
1015,2015-05-04,2014-06-28,3,71.4,16,241,310,23.8,5.333333333333333,2,2,3,223,Khác
1016,2015-10-05,2015-04-23,4,104.69999999999999,22,87,165,26.174999999999997,5.5,4,3,4,434,Trung thành
1017,2015-09-30,2014-02-21,5,75.49000000000001,23,92,586,15.098000000000003,4.6,4,4,3,443,Trung thành
1018,2015-05-23,2014-04-15,4,94.60000000000001,17,222,403,23.650000000000002,4.25,2,3,4,234,Nguy cơ
1019,2014-12-10,2014-12-10,1,73.5,6,386,0,73.5,6.0,1,1,3,113,Khác
1020,2015-10-13,2014-07-19,3,73.84,21,79,451,24.613333333333333,7.0,4,2,3,423,Khác
1021,2015-11-07,2014-05-30,3,53.4,12,54,526,17.8,4.0,4,2,2,422,Khác
1022,2014-06-07,2014-02-22,3,117.5,14,572,105,39.166666666666664,4.666666666666667,1,2,4,124,Khác
1023,2015-06-28,2014-05-17,6,182.0,36,186,407,30.333333333333332,6.0,3,5,5,355,Trung thành
1024,2015-08-10,2015-08-10,1,58.2,10,143,0,58.2,10.0,3,1,2,312,Khác
1025,2015-08-19,2014-02-06,3,42.620000000000005,9,134,559,14.206666666666669,3.0,3,2,2,322,Khác
1026,2015-05-28,2014-03-08,5,111.95,36,217,446,22.39,7.2,2,4,4,244,Nguy cơ
1027,2015-05-17,2014-05-14,4,129.70000000000002,22,228,368,32.425000000000004,5.5,2,3,5,235,Nguy cơ
1028,2015-07-11,2014-04-05,5,107.60000000000001,26,173,462,21.520000000000003,5.2,3,4,4,344,Trung thành
1029,2015-03-14,2015-03-14,1,16.349999999999998,2,292,0,16.349999999999998,2.0,2,1,1,211,Vãng lai
1031,2015-10-15,2014-03-04,3,64.60000000000001,17,77,590,21.533333333333335,5.666666666666667,4,2,3,423,Khác
1032,2015-08-23,2014-01-26,5,96.46000000000001,28,130,574,19.292,5.6,3,4,4,344,Trung thành
