customer_id,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,cluster
1000,35,5,53.8,3,4,2,342,9,4
1001,242,5,100.0,1,4,4,144,9,3
1002,122,4,70.3,2,3,3,233,8,0
1003,323,4,60.65,1,3,2,132,6,3
1004,28,8,204.96,4,5,5,455,14,2
1005,706,2,24.0,1,1,1,111,3,1
1006,199,4,182.94,1,3,5,135,9,2
1008,88,2,155.9,3,1,5,315,9,2
1009,86,4,48.75,3,3,2,332,8,0
1010,152,5,89.36,2,4,4,244,10,0
1011,21,3,89.8,4,2,4,424,10,4
1012,41,4,75.86,3,3,3,333,9,4
1013,89,8,186.75,3,5,5,355,13,2
1014,88,4,75.1,3,3,3,333,9,0
1015,240,3,71.4,1,2,3,123,6,3
1016,86,4,104.7,3,3,4,334,10,4
1017,91,5,75.49,2,4,3,243,9,0
1018,221,4,94.6,1,3,4,134,8,3
1019,385,1,73.5,1,1,3,113,5,3
1020,78,3,73.84,3,2,3,323,8,0
1021,53,3,53.4,3,2,2,322,7,0
1022,571,3,117.5,1,2,4,124,7,3
1023,185,6,182.0,1,5,5,155,11,2
1024,142,1,58.2,2,1,2,212,5,0
1025,133,3,42.62,2,2,2,222,6,0
1026,216,5,111.95,1,4,4,144,9,3
1027,227,4,129.7,1,3,5,135,9,3
1028,172,5,107.6,2,4,4,244,10,3
1029,291,1,16.35,1,1,1,111,3,1
1031,76,3,64.6,3,2,3,323,8,0
1032,129,5,96.46,2,4,4,244,10,3
1033,198,5,91.3,1,4,4,144,9,3
1034,596,3,83.05,1,2,3,123,6,3
1035,113,5,69.9,2,4,3,243,9,0
1036,709,1,10.8,1,1,1,111,3,1
1037,14,3,58.44,4,2,2,422,8,4
1038,16,6,214.2,4,5,5,455,14,2
1039,213,1,2.7,1,1,1,111,3,1
1040,34,4,48.1,3,3,2,332,8,4
1041,272,4,113.75,1,3,4,134,8,3
1042,75,3,35.75,3,2,1,321,6,0
1043,354,3,94.69,1,2,4,124,7,3
1044,66,2,25.4,3,1,1,311,5,0
1045,35,3,98.9,3,2,4,324,9,4
1046,189,2,16.7,1,1,1,111,3,1
1047,143,3,51.6,2,2,2,222,6,0
1048,73,2,23.8,3,1,1,311,5,0
1049,116,4,62.3,2,3,3,233,8,0
1050,240,6,124.6,1,5,4,154,10,3
1051,50,6,207.36,3,5,5,355,13,2
1052,64,10,267.5,3,5,5,355,13,2
1053,174,6,80.7,2,5,3,253,10,3
1054,70,4,43.9,3,3,2,332,8,0
1055,219,2,75.7,1,1,3,113,5,3
1056,51,3,58.2,3,2,2,322,7,4
1057,570,3,32.15,1,2,1,121,4,1
1058,50,4,38.9,3,3,2,332,8,4
1059,564,2,16.8,1,1,1,111,3,1
1061,116,5,149.1,2,4,5,245,11,2
1062,103,5,129.32,2,4,5,245,11,4
1063,341,2,8.1,1,1,1,111,3,1
1064,158,3,59.1,2,2,2,222,6,0
1065,47,6,225.4,3,5,5,355,13,2
1066,566,3,19.92,1,2,1,121,4,1
1067,163,3,112.3,2,2,4,224,8,3
1068,182,2,20.7,1,1,1,111,3,1
1069,132,4,90.45,2,3,4,234,9,0
1070,420,2,66.4,1,1,3,113,5,3
1071,460,1,17.1,1,1,1,111,3,1
1072,68,2,50.7,3,1,2,312,6,0
1073,27,4,109.8,4,3,4,434,11,4
1074,75,5,71.96,3,4,3,343,10,4
1075,41,4,80.3,3,3,3,333,9,4
1076,77,4,87.9,3,3,3,333,9,4
1077,109,6,50.9,2,5,2,252,9,2
1078,63,2,50.0,3,1,2,312,6,0
1079,112,2,89.1,2,1,4,214,7,0
1080,230,2,17.8,1,1,1,111,3,1
1081,241,5,138.6,1,4,5,145,10,3
1082,596,2,65.8,1,1,3,113,5,3
1083,327,3,102.7,1,2,4,124,7,3
1084,621,1,7.6,1,1,1,111,3,1
1085,137,3,31.74,2,2,1,221,5,0
1086,2,5,94.4,5,4,4,544,13,4
1087,138,9,193.82,2,5,5,255,12,2
1088,30,3,58.75,4,2,2,422,8,4
1089,390,1,9.3,1,1,1,111,3,1
1090,70,3,219.2,3,2,5,325,10,2
1092,82,5,104.31,3,4,4,344,11,4
1093,277,1,3.65,1,1,1,111,3,1
1094,113,8,149.79,2,5,5,255,12,2
1095,61,3,57.76,3,2,2,322,7,0
1096,155,1,15.3,2,1,1,211,4,1
1097,59,6,106.48,3,5,4,354,12,4
1098,48,7,267.62,3,5,5,355,13,2
1099,139,3,39.7,2,2,2,222,6,0
1100,293,3,88.3,1,2,4,124,7,3
1101,367,3,52.0,1,2,2,122,5,3
1102,186,4,73.7,1,3,3,133,7,0
1103,403,4,87.1,1,3,3,133,7,3
1104,64,4,40.25,3,3,2,332,8,4
1105,222,2,34.8,1,1,1,111,3,1
1107,90,8,129.38,3,5,5,355,13,2
1108,153,4,94.06,2,3,4,234,9,0
1109,268,5,93.9,1,4,4,144,9,3
1110,40,7,155.9,3,5,5,355,13,4
1111,40,4,53.3,3,3,2,332,8,4
1112,265,1,26.36,1,1,1,111,3,1
1113,147,4,74.65,2,3,3,233,8,0
1114,173,6,121.12,2,5,4,254,11,2
1115,342,4,68.5,1,3,3,133,7,3
1116,31,8,157.4,3,5,5,355,13,4
1117,220,1,34.6,1,1,1,111,3,0
1118,5,6,173.4,5,5,5,555,15,4
1119,329,1,22.4,1,1,1,111,3,1
1120,95,6,144.39,2,5,5,255,12,4
1121,655,1,30.62,1,1,1,111,3,1
1122,9,3,33.0,4,2,1,421,7,0
1123,48,4,73.6,3,3,3,333,9,4
1124,494,2,15.9,1,1,1,111,3,1
1125,41,5,67.56,3,4,3,343,10,4
1126,227,3,124.2,1,2,4,124,7,3
1127,76,4,85.16,3,3,3,333,9,4
1128,178,4,67.25,2,3,3,233,8,0
1129,374,5,179.64,1,4,5,145,10,3
1130,103,4,94.95,2,3,4,234,9,0
1132,99,3,24.64,2,2,1,221,5,0
1133,149,5,143.82,2,4,5,245,11,2
1134,391,3,48.4,1,2,2,122,5,3
1135,173,3,40.97,2,2,2,222,6,0
1136,57,9,209.06,3,5,5,355,13,2
1137,95,2,17.6,2,1,1,211,4,0
1138,119,3,53.3,2,2,2,222,6,0
1139,345,4,72.8,1,3,3,133,7,3
1140,187,2,66.7,1,1,3,113,5,0
1141,380,4,80.8,1,3,3,133,7,3
1142,200,4,81.0,1,3,3,133,7,0
1143,249,5,54.5,1,4,2,142,7,3
1144,76,7,133.25,3,5,5,355,13,4
1145,84,3,34.6,3,2,1,321,6,0
1146,109,7,157.52,2,5,5,255,12,2
1147,409,3,49.2,1,2,2,122,5,3
1148,94,6,118.76,2,5,4,254,11,4
1149,18,2,34.6,4,1,1,411,6,0
1150,26,4,54.4,4,3,2,432,9,4
1151,104,2,68.8,2,1,3,213,6,0
1152,164,4,83.05,2,3,3,233,8,0
1153,22,6,101.5,4,5,4,454,13,4
1154,227,3,35.2,1,2,1,121,4,1
1155,3,3,89.3,5,2,4,524,11,4
1156,108,1,24.0,2,1,1,211,4,0
1157,452,2,136.9,1,1,5,115,7,3
1158,74,4,49.1,3,3,2,332,8,0
1159,199,3,25.45,1,2,1,121,4,0
1160,40,6,118.51,3,5,4,354,12,4
1161,291,2,78.3,1,1,3,113,5,3
1162,146,5,113.5,2,4,4,244,10,3
1163,16,3,54.1,4,2,2,422,8,4
1164,275,2,31.1,1,1,1,111,3,1
1165,1,4,136.2,5,3,5,535,13,4
1166,575,2,29.1,1,1,1,111,3,1
1167,317,2,23.5,1,1,1,111,3,1
1168,299,3,86.6,1,2,3,123,6,3
1169,380,9,284.8,1,5,5,155,11,2
1170,29,7,184.44,4,5,5,455,14,4
1171,239,5,75.3,1,4,3,143,8,3
1173,69,4,36.5,3,3,1,331,7,4
1174,322,5,59.9,1,4,2,142,7,3
1175,183,5,222.36,1,4,5,145,10,2
1176,135,6,96.65,2,5,4,254,11,3
1177,77,1,10.45,3,1,1,311,5,0
1178,45,4,114.24,3,3,4,334,10,4
1179,475,2,112.6,1,1,4,114,6,3
1180,493,2,9.9,1,1,1,111,3,1
1181,44,3,38.2,3,2,2,322,7,0
1182,31,6,199.82,3,5,5,355,13,4
1183,184,3,97.6,1,2,4,124,7,3
1184,197,2,43.5,1,1,2,112,4,0
1185,128,4,108.9,2,3,4,234,9,3
1186,248,4,51.83,1,3,2,132,6,3
1187,18,3,14.77,4,2,1,421,7,4
1188,355,3,69.7,1,2,3,123,6,3
1189,544,2,30.55,1,1,1,111,3,1
1190,64,8,161.1,3,5,5,355,13,4
1191,144,2,100.6,2,1,4,214,7,3
1192,355,2,28.4,1,1,1,111,3,1
1193,48,2,22.56,3,1,1,311,5,0
1194,231,3,73.2,1,2,3,123,6,0
1195,56,3,64.06,3,2,3,323,8,4
1196,33,3,34.42,3,2,1,321,6,0
1197,38,6,153.6,3,5,5,355,13,4
1198,333,3,167.9,1,2,5,125,8,3
1199,20,4,57.5,4,3,2,432,9,4
1200,95,3,26.05,2,2,1,221,5,0
1201,401,2,34.8,1,1,1,111,3,1
1202,161,4,61.6,2,3,2,232,7,0
1204,160,7,142.1,2,5,5,255,12,2
1205,291,3,69.1,1,2,3,123,6,3
1206,229,3,96.6,1,2,4,124,7,3
1207,46,3,62.06,3,2,3,323,8,4
1208,14,5,171.46,4,4,5,445,13,4
1209,414,4,121.29,1,3,4,134,8,3
1211,220,6,107.75,1,5,4,154,10,3
1212,152,4,68.4,2,3,3,233,8,0
1213,107,3,94.6,2,2,4,224,8,0
1214,354,2,58.9,1,1,2,112,4,3
1215,346,3,76.71,1,2,3,123,6,3
1216,127,4,183.2,2,3,5,235,10,2
1217,315,3,68.6,1,2,3,123,6,3
1218,1,7,194.2,5,5,5,555,15,2
1219,454,2,32.6,1,1,1,111,3,1
1220,1,5,182.45,5,4,5,545,14,4
1221,410,1,1.7,1,1,1,111,3,1
1222,97,2,16.8,2,1,1,211,4,0
1223,30,4,61.6,4,3,2,432,9,4
1224,466,2,83.3,1,1,3,113,5,3
1225,224,7,127.0,1,5,4,154,10,2
1226,48,2,84.55,3,1,3,313,7,4
1227,601,1,7.7,1,1,1,111,3,1
1228,310,1,16.6,1,1,1,111,3,1
1229,285,3,146.4,1,2,5,125,8,3
1230,41,6,66.85,3,5,3,353,11,4
1231,64,7,156.0,3,5,5,355,13,4
1232,182,3,33.0,1,2,1,121,4,0
1233,139,6,98.36,2,5,4,254,11,3
1234,40,4,74.44,3,3,3,333,9,4
1235,215,8,153.88,1,5,5,155,11,2
1236,233,2,40.6,1,1,2,112,4,1
1237,265,7,160.8,1,5,5,155,11,2
1238,304,1,27.0,1,1,1,111,3,1
1239,121,7,139.0,2,5,5,255,12,2
1240,260,3,58.64,1,2,2,122,5,3
1241,222,4,156.22,1,3,5,135,9,2
1242,16,6,125.11,4,5,4,454,13,4
1243,721,1,6.0,1,1,1,111,3,1
1244,400,3,39.02,1,2,2,122,5,1
1245,26,7,167.71,4,5,5,455,14,4
1246,366,4,57.4,1,3,2,132,6,3
1247,452,2,17.4,1,1,1,111,3,1
1248,15,8,166.65,4,5,5,455,14,4
1249,445,2,62.8,1,1,3,113,5,3
1250,448,1,1.3,1,1,1,111,3,1
1251,34,1,6.6,3,1,1,311,5,0
1252,261,3,104.9,1,2,4,124,7,3
1253,193,2,51.94,1,1,2,112,4,0
1254,255,2,115.0,1,1,4,114,6,3
1255,460,1,26.8,1,1,1,111,3,1
1256,123,5,99.65,2,4,4,244,10,3
1257,470,2,20.0,1,1,1,111,3,1
1258,508,2,50.9,1,1,2,112,4,1
1259,33,6,220.04,3,5,5,355,13,2
1260,452,2,48.74,1,1,2,112,4,1
1261,223,2,47.05,1,1,2,112,4,0
1262,526,2,46.6,1,1,2,112,4,1
1263,437,2,39.8,1,1,2,112,4,1
1264,23,6,145.0,4,5,5,455,14,4
1265,88,7,279.99,3,5,5,355,13,2
1266,490,1,10.8,1,1,1,111,3,1
1267,594,1,15.0,1,1,1,111,3,1
1268,437,4,57.8,1,3,2,132,6,3
1269,91,5,123.62,2,4,4,244,10,4
1270,249,3,67.06,1,2,3,123,6,3
1272,521,1,28.8,1,1,1,111,3,1
